circuit_id,width,depth,n_rx,n_ry,n_rz,n_cx,state_hamming_weight,f_state_prob_p25,f_state_prob_p50,f_state_prob_p75,fr_state_error_p25,fr_state_error_p50,fr_state_error_p75,fr_program_error_p25,fr_program_error_p50,fr_program_error_p75,state_bitstring,true_probability
9,3,4,3,2,2,1,0,0.2,0.2175,0.2425,0.09999999999999998,0.10250000000000004,0.11250000000000004,0.09999999999999998,0.10250000000000004,0.11250000000000004,000,0.2111241151947479
9,3,4,3,2,2,1,1,0.245,0.2525,0.255,0.0675,0.0725,0.095,0.09999999999999998,0.10250000000000004,0.11250000000000004,001,0.2624879410304951
9,3,4,3,2,2,1,1,0.1175,0.14,0.16,0.0125,0.0125,0.0175,0.09999999999999998,0.10250000000000004,0.11250000000000004,010,0.1455653496922051
9,3,4,3,2,2,1,2,0.1675,0.1725,0.1875,0.0,0.0,0.0025,0.09999999999999998,0.10250000000000004,0.11250000000000004,011,0.180979557407952
9,3,4,3,2,2,1,1,0.0575,0.0675,0.0725,0.0075,0.0125,0.015,0.09999999999999998,0.10250000000000004,0.11250000000000004,100,0.06555762135468043
9,3,4,3,2,2,1,2,0.05,0.0525,0.065,0.0,0.0,0.0025,0.09999999999999998,0.10250000000000004,0.11250000000000004,101,0.052729259669766035
9,3,4,3,2,2,1,2,0.0425,0.0475,0.0475,0.0,0.0,0.0,0.09999999999999998,0.10250000000000004,0.11250000000000004,110,0.04520051188221928
9,3,4,3,2,2,1,3,0.0375,0.04,0.0425,0.0,0.0,0.0,0.09999999999999998,0.10250000000000004,0.11250000000000004,111,0.03635564376793432
10,2,10,1,4,3,5,0,0.4475,0.4575,0.48,0.08499999999999996,0.09250000000000003,0.09250000000000003,0.08499999999999996,0.09250000000000003,0.09250000000000003,00,0.5056266046196466
10,2,10,1,4,3,5,1,0.405,0.415,0.415,0.06,0.0625,0.065,0.08499999999999996,0.09250000000000003,0.09250000000000003,01,0.40730255130097104
10,2,10,1,4,3,5,1,0.0675,0.0725,0.0775,0.0225,0.025,0.03,0.08499999999999996,0.09250000000000003,0.09250000000000003,10,0.0482242624936527
10,2,10,1,4,3,5,2,0.06,0.06,0.0675,0.0025,0.0025,0.0025,0.08499999999999996,0.09250000000000003,0.09250000000000003,11,0.03884658158572944
11,3,10,3,5,5,7,0,0.12,0.13,0.1375,0.10499999999999998,0.10999999999999999,0.135,0.10499999999999998,0.10999999999999999,0.135,000,0.11953095360594954
11,3,10,3,5,5,7,1,0.1625,0.1675,0.17,0.07,0.0725,0.0775,0.10499999999999998,0.10999999999999999,0.135,001,0.16931449845449775
11,3,10,3,5,5,7,1,0.135,0.15,0.155,0.025,0.0275,0.0275,0.10499999999999998,0.10999999999999999,0.135,010,0.1357807192065402
11,3,10,3,5,5,7,2,0.1825,0.19,0.1925,0.0,0.0025,0.0025,0.10499999999999998,0.10999999999999999,0.135,011,0.19233214225023998
11,3,10,3,5,5,7,1,0.06,0.0675,0.075,0.01,0.015,0.015,0.10499999999999998,0.10999999999999999,0.135,100,0.058700971426234594
11,3,10,3,5,5,7,2,0.125,0.125,0.1475,0.0,0.0,0.0,0.10499999999999998,0.10999999999999999,0.135,101,0.1450095565875579
11,3,10,3,5,5,7,2,0.0525,0.0525,0.0575,0.0,0.0,0.0,0.10499999999999998,0.10999999999999999,0.135,110,0.051675842735081454
11,3,10,3,5,5,7,3,0.1075,0.1125,0.1275,0.0,0.0,0.0,0.10499999999999998,0.10999999999999999,0.135,111,0.12765531573389846
12,2,8,1,2,3,4,0,0.1475,0.1525,0.175,0.08999999999999997,0.09250000000000003,0.09499999999999997,0.08999999999999997,0.09250000000000003,0.09499999999999997,00,0.15276812674209914
12,2,8,1,2,3,4,1,0.1375,0.14,0.145,0.0725,0.075,0.08,0.08999999999999997,0.09250000000000003,0.09499999999999997,01,0.12666774869536554
12,2,8,1,2,3,4,1,0.6025,0.615,0.635,0.015,0.0175,0.02,0.08999999999999997,0.09250000000000003,0.09499999999999997,10,0.6926258146143199
12,2,8,1,2,3,4,2,0.075,0.0775,0.0925,0.0,0.0,0.0,0.08999999999999997,0.09250000000000003,0.09499999999999997,11,0.02793830994821527
13,2,9,0,1,1,7,0,0.145,0.18,0.185,0.06999999999999995,0.09250000000000003,0.10999999999999999,0.06999999999999995,0.09250000000000003,0.10999999999999999,00,0.16898183291727661
13,2,9,0,1,1,7,1,0.71,0.7175,0.7575,0.0175,0.0225,0.025,0.06999999999999995,0.09250000000000003,0.10999999999999999,10,0.8310181670827232
14,2,3,1,0,1,1,0,0.5275,0.53,0.5425,0.07999999999999996,0.09750000000000003,0.09750000000000003,0.07999999999999996,0.09750000000000003,0.09750000000000003,00,0.5742955180068762
14,2,3,1,0,1,1,2,0.3525,0.375,0.3775,0.0,0.0,0.0,0.07999999999999996,0.09750000000000003,0.09750000000000003,11,0.42570448199312383
15,3,11,8,5,9,4,0,0.08,0.0975,0.1,0.07999999999999996,0.09250000000000003,0.11250000000000004,0.07999999999999996,0.09250000000000003,0.11250000000000004,000,0.09478954770610158
15,3,11,8,5,9,4,1,0.065,0.08,0.0825,0.055,0.065,0.0725,0.07999999999999996,0.09250000000000003,0.11250000000000004,001,0.07218499749533551
15,3,11,8,5,9,4,1,0.0875,0.105,0.105,0.015,0.015,0.025,0.07999999999999996,0.09250000000000003,0.11250000000000004,010,0.09604992399392939
15,3,11,8,5,9,4,2,0.06,0.0625,0.07,0.0,0.0,0.0025,0.07999999999999996,0.09250000000000003,0.11250000000000004,011,0.07123777905520663
15,3,11,8,5,9,4,1,0.06,0.065,0.075,0.0075,0.0125,0.0125,0.07999999999999996,0.09250000000000003,0.11250000000000004,100,0.027927742640106643
15,3,11,8,5,9,4,2,0.2325,0.2325,0.2425,0.0,0.0,0.0025,0.07999999999999996,0.09250000000000003,0.11250000000000004,101,0.2646611269102384
15,3,11,8,5,9,4,2,0.315,0.3275,0.3325,0.0,0.0,0.0,0.07999999999999996,0.09250000000000003,0.11250000000000004,110,0.3521601718628411
15,3,11,8,5,9,4,3,0.0425,0.05,0.0525,0.0,0.0,0.0,0.07999999999999996,0.09250000000000003,0.11250000000000004,111,0.020988710336240193
16,5,10,8,9,10,9,0,0.0025,0.005,0.005,0.16249999999999998,0.16500000000000004,0.16749999999999998,0.16249999999999998,0.16500000000000004,0.16749999999999998,00000,0.0006251568442096713
16,5,10,8,9,10,9,1,0.0075,0.01,0.0125,0.065,0.0675,0.0775,0.16249999999999998,0.16500000000000004,0.16749999999999998,00001,0.016863515270815414
16,5,10,8,9,10,9,1,0.03,0.03,0.035,0.0175,0.02,0.025,0.16249999999999998,0.16500000000000004,0.16749999999999998,00010,0.0334963188636637
16,5,10,8,9,10,9,2,0.0075,0.02,0.0225,0.0,0.0,0.0,0.16249999999999998,0.16500000000000004,0.16749999999999998,00011,0.011786270669126629
16,5,10,8,9,10,9,1,0.0375,0.0475,0.0525,0.005,0.015,0.0175,0.16249999999999998,0.16500000000000004,0.16749999999999998,00100,0.047245964282885806
16,5,10,8,9,10,9,2,0.0175,0.02,0.0225,0.0,0.0,0.0025,0.16249999999999998,0.16500000000000004,0.16749999999999998,00101,0.012086209531450212
16,5,10,8,9,10,9,2,0.0075,0.0075,0.0075,0.0,0.0,0.0,0.16249999999999998,0.16500000000000004,0.16749999999999998,00110,0.008472437481621539
16,5,10,8,9,10,9,3,0.0125,0.015,0.02,0.0,0.0,0.0,0.16249999999999998,0.16500000000000004,0.16749999999999998,00111,0.014431571793440588
16,5,10,8,9,10,9,1,0.015,0.0275,0.0275,0.0175,0.0175,0.02,0.16249999999999998,0.16500000000000004,0.16749999999999998,01000,0.018957177716214826
16,5,10,8,9,10,9,2,0.005,0.0075,0.01,0.0,0.0,0.0025,0.16249999999999998,0.16500000000000004,0.16749999999999998,01001,0.0023346942281095816
16,5,10,8,9,10,9,2,0.005,0.0075,0.0075,0.0,0.0,0.0,0.16249999999999998,0.16500000000000004,0.16749999999999998,01010,0.0008072731917247463
16,5,10,8,9,10,9,3,0.0225,0.025,0.0275,0.0,0.0,0.0,0.16249999999999998,0.16500000000000004,0.16749999999999998,01011,0.024531642314870428
16,5,10,8,9,10,9,2,0.07,0.0725,0.08,0.0,0.0,0.0,0.16249999999999998,0.16500000000000004,0.16749999999999998,01100,0.08258631182570116
16,5,10,8,9,10,9,3,0.1025,0.105,0.1125,0.0,0.0,0.0,0.16249999999999998,0.16500000000000004,0.16749999999999998,01101,0.10481138544503354
16,5,10,8,9,10,9,3,0.0425,0.045,0.0575,0.0,0.0,0.0,0.16249999999999998,0.16500000000000004,0.16749999999999998,01110,0.043756702803684405
